description,prix,code,marque,date
Laitue romaine coupée,4.98,21010066_EA,Givenchy,2019-07-14 23:03
Ensemble pour salade Sud-Ouest biologique,4.98,21182278_EA,Earthbound Farm Organic,2019-07-14 23:03
Ensemble pour salade asiatique biologique,4.98,21182276_EA,Earthbound Farm Organic,2019-07-14 23:03
Mélange à la grecque avec garnitures,4.98,20651236_EA,None,2019-07-14 23:03
Légumes-feuilles des champs biologiques,5.98,20323751_EA,le Choix du Président,2019-07-14 23:03
jeunes épinards,5.98,20127207_EA,le Choix du Président,2019-07-14 23:03
Mélange Sud-Ouest avec garnitures Attitude fraîche,5.98,21010045_EA,Givenchy,2019-07-14 23:03
Salade César emballage à double coque,5.98,20249660_EA,Givenchy,2019-07-14 23:03
Mélange indien doux avec Naan,5.98,21012253_EA,Givenchy,2019-07-14 23:03
Salade mélange printanier,5.98,20247887_EA,Givenchy,2019-07-14 23:03
Figues turques séchées,2.48,20599942_EA,Aurora,2019-07-14 23:03
Tarte au citron 20 cm (8 po),2.5,20768206_EA,Vieux moulin,2019-07-14 23:03
Tomates séchées,2.98,20281762_EA,Aurora,2019-07-14 23:03
Dattes dénoyautées,2.98,20056312_EA,Amira,2019-07-14 23:03
Arachides grillées Menu bleu, non salées,3.0,20998002_EA,le Choix du Président,2019-07-14 23:03
Abricots séchés,4.58,20079455_EA,Amira,2019-07-14 23:03
Arachides rôties, sans sel,5.0,20996039_EA,sans nom,2019-07-14 23:03
Pistaches Wonderful, rôties et salées,5.0,21085963001_EA,None,2019-07-14 23:03
Pistaches sel et poivre,5.0,20339219_EA,None,2019-07-14 23:03
Dattes dénoyautées issues de semis naturels,5.98,20772841_EA,None,2019-07-14 23:03
pistaches de la californieleu - non salées, grillées à,12.0,20170773_EA,le Choix du Président,2019-07-14 23:03
Dattes Medjool,14.98,20001686_EA,None,2019-07-14 23:03
Abricots,0.46,20092504001_KG,None,2019-07-14 23:03
Prunes noires,0.55,20316478001_KG,None,2019-07-14 23:03
Nectarines à chair jaune,0.61,20138563001_KG,None,2019-07-14 23:03
Pêches jaunes,0.87,20311564001_KG,None,2019-07-14 23:03
Pêches blanches,0.99,20109121001_KG,None,2019-07-14 23:03
Prunes rouges,1.42,20138186001_KG,None,2019-07-14 23:03
Pommes Empire,0.7,20067027001_KG,None,2019-07-14 23:03
Pommes McIntosh,0.87,20039956001_KG,None,2019-07-14 23:03
Pommes Granny Smith,0.87,20253488001_KG,None,2019-07-14 23:03
Pommes Red Delicious,0.92,20073899001_KG,None,2019-07-14 23:03
Pommes Spartan,0.92,20020314001_KG,None,2019-07-14 23:03
Pommes Pink Lady,0.92,20093376001_KG,None,2019-07-14 23:03
Pommes Royal Gala,0.92,20083526001_KG,None,2019-07-14 23:03
Pommes Cortland,0.92,20016938001_KG,None,2019-07-14 23:03
Pommes Golden Delicious,0.96,20430790001_KG,None,2019-07-14 23:03
pommes gala,1.45,20100756001_KG,None,2019-07-14 23:03
Pommes Honeycrisp,1.58,20132621001_KG,None,2019-07-14 23:03
Pommes Cortland,5.98,20630871001_EA,Farmer’s Market,2019-07-14 23:03
Pommes Spartan,5.98,20281372001_EA,Farmer’s Market,2019-07-14 23:03
Pommes Gala,5.98,20767998001_EA,Farmer's Marketᴹᶜ,2019-07-14 23:03
Pommes McIntosh,5.98,20713211001_EA,Farmer’s Market,2019-07-14 23:03
Pommes Empire,5.98,20630648001_EA,Farmer’s Market,2019-07-14 23:03
Pommes imparfaites,5.98,20868985001_EA,sans nom,2019-07-14 23:03
Poires Bartlett,0.78,20172240001_KG,None,2019-07-14 23:03
Poires Bosc,0.81,20287815001_KG,None,2019-07-14 23:03
Poires d'Anjou,0.89,20174514001_KG,None,2019-07-14 23:03
Poires Forelle,0.96,20143210001_KG,None,2019-07-14 23:03
Poires asiatiques jaunes,1.4,20035618001_KG,None,2019-07-14 23:03
Plantain,0.56,20111926001_KG,None,2019-07-14 23:03
Bananes, grappe,1.7,20175355001_KG,None,2019-07-14 23:03
